"aou","stateroute","dist_from_centroid","bearing"
6870,63004,2177731.18919901,126.459346390269
6870,63005,2164404.8728571,127.866340826585
6870,63010,2099099.45253153,122.36901698819
6870,63012,2068057.6315364,124.608982867409
6870,63013,2104721.2023734,124.682975647008
6870,63015,1964352.41182138,126.768799983897
6870,63020,1852276.93951936,134.57046145797
6870,63023,2098116.60127623,120.698340381318
6870,63024,2042763.3218391,122.719936913986
6870,63025,2026795.87311658,124.091001537433
6870,63030,1819496.37229664,135.734267119564
6870,63109,2149750.61468368,122.15250654304
6870,63119,1859553.23293804,131.039363989008
6870,63121,1834382.94135173,133.447708923742
6870,63202,2220214.52970898,123.446378045447
6870,63210,2089988.03829479,123.094725605962
6870,63212,2044768.06244466,126.044290242534
6870,63220,1796491.368298,133.146622149701
6870,63223,2120195.88736173,120.405992969586
6870,63224,2072085.18621017,123.014243309511
6870,63225,1995678.32772575,124.912056224953
6870,64002,170313.528897051,176.843777844138
6870,64007,39908.4332286534,-118.006436484507
6870,64008,21403.6849016224,-105.945689690615
6870,64014,57461.4534718352,-31.2875936689124
6870,64016,122150.17305726,-75.3556151759169
6870,64017,201011.376909253,-65.1793983414865
6870,64026,397528.867085161,-83.9422498124264
6870,64032,473109.93553183,-98.2766729212253
6870,64033,482158.231771776,-92.8820890027401
6870,64041,328592.708879467,-93.5874313350144
6870,64042,222573.263045293,-99.5327930854562
6870,64044,248584.042512396,-66.9210222331952
6870,64129,370057.075355586,-115.706611379541
6870,66001,1235652.94429497,120.835617284486
6870,66002,1264478.04969648,120.814288150787
6870,66006,1327751.6897066,118.173675891359
6870,66017,1460916.99454235,113.916669524128
6870,66021,1470365.15279762,112.530946466584
6870,66032,1344770.4301627,122.366914454543
6870,66043,1499466.69793716,120.89387871752
6870,66075,1469621.073929,122.094877716385
6870,66112,1376977.95834038,118.217507335494
6870,66113,1343594.35278164,117.847906523991
6870,66116,1471814.46819192,114.379706733591
6870,66141,1436706.05675415,122.518152772713
6870,66148,1505517.34484728,118.92226007818
6870,66181,1559631.98545009,121.25938225574
6870,66188,1577583.87322238,125.967104723478
6870,67011,1364616.97630195,171.390534417252
6870,69046,1663504.91775289,-90.9128547872722
6870,72003,1536074.02606287,113.885570880202
6870,72004,1497389.99742155,111.645922824448
6870,72006,1576196.06991486,110.598173666213
6870,72008,1520946.3453289,110.858110657577
6870,72009,1608388.2997929,110.961035706724
6870,72010,1591292.29592552,109.746284124784
6870,72012,1594407.49848722,110.809931775117
6870,72013,1688506.34346261,109.734369083143
6870,72014,1655411.88787569,108.02521758647
6870,72015,1633961.32716573,108.543303507595
6870,72016,1609356.07599785,109.688933872455
6870,72018,1621953.48088192,107.529378035807
6870,72020,1647689.7575415,108.007109656326
6870,72021,1740050.37933986,108.126584994982
6870,72022,1726222.59425329,106.725776983569
6870,72023,1672098.09068066,108.323685369781
6870,72024,1693716.60611169,106.423038934449
6870,72025,1748361.35477132,108.832343625746
6870,72028,1670817.80160625,107.943220307483
6870,72029,1778800.9180952,107.159467187686
6870,72030,1729576.67290167,105.723869299248
6870,72033,1785300.40489969,104.319574720435
6870,72035,1798473.76458227,107.117783286845
6870,72036,1803491.50699251,107.49642225494
6870,72037,1881314.41048479,105.976250137184
6870,72038,1818916.19781937,104.74604525768
6870,72041,1878405.13273845,105.131488835329
6870,72042,1884468.39771712,105.348327203403
